investor,host,year,position_mio_eur,income_mio_eur
AT,LU,2022,1317.0,269.0
AT,LU,2023,,-30.0
AT,LU,2024,,855.0
AT,NL,2013,1304.0,57.0
AT,NL,2014,824.0,1187.0
AT,NL,2015,,-5696.0
AT,NL,2016,,509.0
AT,NL,2017,,94.0
AT,NL,2018,3917.0,135.0
AT,NL,2019,9260.0,702.0
AT,NL,2020,2947.0,
AT,NL,2021,2013.0,
AT,NL,2022,3524.0,
AT,NL,2023,3964.0,
AT,NL,2024,4181.0,
AT,NO,2013,12.0,-94.0
AT,NO,2014,12.0,5.0
AT,NO,2015,9.0,-197.0
AT,NO,2016,16.0,18.0
AT,NO,2017,,17.0
AT,NO,2018,16.0,218.0
AT,NO,2019,12.0,78.0
AT,NO,2020,14.0,20.0
AT,NO,2021,2.0,641.0
AT,NO,2022,26.0,864.0
AT,NO,2023,42.0,296.0
AT,NO,2024,34.0,33.0
AT,PL,2013,355.0,446.0
AT,PL,2014,351.0,286.0
AT,PL,2015,310.0,430.0
AT,PL,2016,320.0,303.0
AT,PL,2017,274.0,410.0
AT,PL,2018,304.0,355.0
AT,PL,2019,303.0,306.0
AT,PL,2020,261.0,312.0
AT,PL,2021,412.0,863.0
AT,PL,2022,799.0,433.0
AT,PL,2023,952.0,168.0
AT,PL,2024,839.0,962.0
AT,SE,2013,38.0,103.0
AT,SE,2014,34.0,135.0
AT,SE,2015,28.0,130.0
AT,SE,2016,41.0,147.0
AT,SE,2017,106.0,199.0
AT,SE,2018,130.0,95.0
AT,SE,2019,80.0,102.0
AT,SE,2020,,117.0
AT,SE,2021,99.0,196.0
AT,SE,2022,400.0,262.0
AT,SE,2023,356.0,177.0
AT,SE,2024,449.0,231.0
AT,SI,2013,79.0,-158.0
AT,SI,2014,232.0,-365.0
AT,SI,2015,224.0,258.0
AT,SI,2016,292.0,277.0
AT,SI,2017,354.0,357.0
AT,SI,2018,340.0,346.0
AT,SI,2019,331.0,323.0
AT,SI,2020,270.0,249.0
AT,SI,2021,130.0,431.0
AT,SI,2022,204.0,326.0
AT,SI,2023,326.0,320.0
AT,SI,2024,359.0,423.0
AT,SK,2013,99.0,522.0
AT,SK,2014,129.0,580.0
AT,SK,2015,94.0,578.0
AT,SK,2016,78.0,683.0
AT,SK,2017,432.0,617.0
AT,SK,2018,36.0,620.0
AT,SK,2019,41.0,656.0
AT,SK,2020,51.0,471.0
AT,SK,2021,65.0,763.0
AT,SK,2022,362.0,772.0
AT,SK,2023,308.0,809.0
AT,SK,2024,82.0,765.0
AT,UK,2013,1376.0,52.0
AT,UK,2014,1391.0,40.0
AT,UK,2015,1227.0,87.0
AT,UK,2016,2130.0,-65.0
AT,UK,2017,1530.0,666.0
AT,UK,2018,1550.0,11.0
AT,UK,2019,601.0,431.0
AT,UK,2020,,242.0
AT,UK,2021,2435.0,320.0
AT,UK,2022,3515.0,636.0
AT,UK,2023,4798.0,960.0
AT,UK,2024,3615.0,807.0
BE,AT,2013,3818.0,31.0
BE,AT,2014,2302.0,83.0
BE,AT,2015,1626.0,63.0
BE,AT,2016,1118.0,47.0
BE,AT,2017,1465.0,79.0
BE,AT,2018,1595.0,73.0
BE,AT,2019,2001.0,55.0
BE,AT,2020,1703.0,49.0
BE,AT,2021,2018.0,73.0
BE,AT,2022,1668.0,32.0
BE,AT,2023,1472.0,51.0
BE,AT,2024,1530.0,73.0
BE,BG,2013,12.0,0.0
BE,BG,2014,,19.0
BE,BG,2016,,25.0
BE,BG,2017,,69.0
BE,BG,2018,,73.0
BE,BG,2019,15.0,69.0
BE,BG,2020,12.0,73.0
BE,BG,2021,12.0,175.0
BE,BG,2022,22.0,211.0
BE,BG,2023,30.0,258.0
BE,BG,2024,,294.0
BE,CH,2013,17904.0,50.0
BE,CH,2014,15825.0,152.0
BE,CH,2015,,100.0
BE,CH,2016,,-221.0
BE,CH,2017,15983.0,109.0
BE,CH,2018,15589.0,229.0
BE,CH,2019,24145.0,366.0
BE,CH,2020,31299.0,6512.0
BE,CH,2021,33994.0,2410.0
BE,CH,2022,37131.0,1339.0
BE,CH,2023,40775.0,1278.0
BE,CH,2024,43475.0,1442.0
BE,CY,2013,,-29.0
BE,CY,2014,,-173.0
BE,CY,2016,,175.0
BE,CY,2017,,-33.0
BE,CY,2018,,-27.0
BE,CY,2019,138.0,28.0
BE,CY,2020,175.0,38.0
BE,CY,2021,193.0,480.0
BE,CY,2022,154.0,215.0
BE,CY,2023,114.0,398.0
BE,CY,2024,117.0,-45.0
BE,CZ,2013,505.0,
BE,CZ,2014,,608.0
BE,CZ,2015,,695.0
BE,CZ,2016,,724.0
BE,CZ,2017,,690.0
BE,CZ,2019,359.0,1065.0
BE,CZ,2020,196.0,790.0
BE,CZ,2021,264.0,832.0
BE,CZ,2022,530.0,1139.0
BE,CZ,2023,238.0,978.0
BE,CZ,2024,252.0,1180.0
BE,DE,2013,59447.0,607.0
BE,DE,2014,54247.0,860.0
BE,DE,2015,,322.0
BE,DE,2016,,468.0
BE,DE,2017,,1024.0
BE,DE,2018,,1364.0
BE,DE,2019,30274.0,1079.0
BE,DE,2020,24967.0,-63.0
BE,DE,2021,27776.0,1257.0
BE,DE,2022,28380.0,1143.0
BE,DE,2023,24224.0,2277.0
BE,DE,2024,25838.0,1750.0
BE,DK,2013,,37.0
BE,DK,2014,920.0,
BE,DK,2015,,53.0
BE,DK,2016,,25.0
BE,DK,2017,1333.0,56.0
BE,DK,2018,,72.0
BE,DK,2019,812.0,103.0
BE,DK,2020,475.0,63.0
BE,DK,2021,727.0,68.0
BE,DK,2022,866.0,72.0
BE,DK,2023,822.0,45.0
BE,DK,2024,734.0,45.0
BE,EE,2013,,0.0
BE,EE,2014,14.0,0.0
BE,EE,2015,77.0,
BE,EE,2018,86.0,4.0
BE,EE,2019,93.0,4.0
BE,EE,2020,,6.0
BE,EE,2021,2.0,1.0
BE,EE,2022,,1.0
BE,EE,2023,1.0,3.0
BE,EE,2024,1.0,2.0
BE,ES,2013,9240.0,72.0
BE,ES,2014,9299.0,52.0
BE,ES,2015,10043.0,152.0
BE,ES,2016,7256.0,447.0
BE,ES,2017,5890.0,264.0
BE,ES,2018,4987.0,152.0
BE,ES,2019,5231.0,399.0
BE,ES,2020,4403.0,308.0
BE,ES,2021,4529.0,296.0
BE,ES,2022,5257.0,544.0
BE,ES,2023,4559.0,415.0
BE,ES,2024,2253.0,403.0
BE,FI,2013,,72.0
BE,FI,2014,2692.0,26.0
BE,FI,2015,2450.0,24.0
BE,FI,2016,2168.0,87.0
BE,FI,2017,3454.0,47.0
BE,FI,2018,,10.0
BE,FI,2019,1389.0,43.0
BE,FI,2020,952.0,34.0
BE,FI,2021,460.0,84.0
BE,FI,2022,406.0,91.0
BE,FI,2023,422.0,45.0
BE,FI,2024,277.0,63.0
BE,FR,2013,64964.0,1058.0
BE,FR,2014,63435.0,-165.0
BE,FR,2015,66452.0,1853.0
BE,FR,2016,,3047.0
BE,FR,2017,64267.0,2248.0
BE,FR,2018,,2547.0
BE,FR,2019,65517.0,3439.0
BE,FR,2020,60312.0,-661.0
BE,FR,2021,62791.0,2229.0
BE,FR,2022,63775.0,3643.0
BE,FR,2023,43735.0,4204.0
BE,FR,2024,42336.0,4371.0
BE,GR,2015,,-15.0
BE,GR,2016,,-9.0
BE,GR,2018,,89.0
BE,GR,2019,214.0,49.0
BE,GR,2020,221.0,-27.0
BE,GR,2021,252.0,236.0
BE,GR,2022,333.0,671.0
BE,GR,2023,272.0,111.0
BE,GR,2024,325.0,421.0
BE,HR,2013,,6.0
BE,HR,2014,12.0,12.0
BE,HR,2016,,31.0
BE,HR,2017,,16.0
BE,HR,2019,3.0,18.0
BE,HR,2020,7.0,21.0
BE,HR,2021,3.0,51.0
BE,HR,2022,7.0,37.0
BE,HR,2023,8.0,33.0
BE,HR,2024,7.0,31.0
BE,HU,2013,,69.0
BE,HU,2014,,-7.0
BE,HU,2015,,117.0
BE,HU,2016,,204.0
BE,HU,2017,,171.0
BE,HU,2018,,226.0
BE,HU,2019,,171.0
BE,HU,2020,138.0,141.0
BE,HU,2021,145.0,327.0
BE,HU,2022,146.0,275.0
BE,HU,2023,77.0,332.0
BE,HU,2024,119.0,343.0
BE,IE,2013,10249.0,-416.0
BE,IE,2014,11231.0,488.0
BE,IE,2015,11526.0,1290.0
BE,IE,2016,,358.0
BE,IE,2017,,529.0
BE,IE,2018,,607.0
BE,IE,2019,12609.0,273.0
BE,IE,2020,7844.0,96.0
BE,IE,2021,19775.0,-117.0
BE,IE,2022,25082.0,194.0
BE,IE,2023,13770.0,1664.0
BE,IE,2024,11427.0,1199.0
BE,IS,2020,0.0,
BE,IS,2021,0.0,
BE,IS,2022,0.0,
BE,IS,2023,0.0,
BE,IS,2024,0.0,
BE,IT,2013,13174.0,-279.0
BE,IT,2014,10595.0,-392.0
BE,IT,2015,8474.0,47.0
BE,IT,2016,5078.0,617.0
BE,IT,2017,,1018.0
BE,IT,2018,,612.0
BE,IT,2019,4234.0,23.0
BE,IT,2020,4464.0,633.0
BE,IT,2021,4440.0,1011.0
BE,IT,2022,9376.0,1460.0
BE,IT,2023,1779.0,1260.0
BE,IT,2024,1627.0,1053.0
BE,LI,2019,0.0,0.0
BE,LI,2020,0.0,0.0
BE,LI,2021,0.0,0.0
BE,LI,2022,0.0,0.0
BE,LI,2023,0.0,0.0
BE,LI,2024,0.0,0.0
BE,LT,2013,96.0,
BE,LT,2014,90.0,1.0
BE,LT,2015,81.0,
BE,LT,2016,38.0,1.0
BE,LT,2017,,1.0
BE,LT,2018,,1.0
BE,LT,2019,,1.0
BE,LT,2020,,4.0
BE,LT,2021,,1.0
BE,LT,2022,15.0,1.0
BE,LT,2023,8.0,1.0
BE,LT,2024,10.0,1.0
BE,LU,2013,50530.0,4412.0
BE,LU,2014,39068.0,4800.0
BE,LU,2015,,1633.0
BE,LU,2016,,998.0
BE,LU,2017,,6263.0
BE,LU,2018,,7655.0
BE,LU,2019,24175.0,6982.0
BE,LU,2020,17881.0,5940.0
BE,LU,2021,15716.0,8012.0
BE,LU,2022,15495.0,4776.0
BE,LU,2023,12163.0,7928.0
BE,LU,2024,14182.0,6228.0
BE,LV,2013,21.0,3.0
BE,LV,2014,,1.0
BE,LV,2015,,1.0
BE,LV,2016,,3.0
BE,LV,2017,,3.0
BE,LV,2018,,3.0
BE,LV,2019,12.0,3.0
BE,LV,2020,0.0,5.0
BE,LV,2021,0.0,4.0
BE,LV,2022,4.0,6.0
BE,LV,2023,2.0,9.0
BE,LV,2024,1.0,12.0
BE,MT,2014,,8.0
BE,MT,2015,,8.0
BE,MT,2016,,8.0
BE,MT,2017,,8.0
BE,MT,2018,,7.0
BE,MT,2019,232.0,2.0
BE,MT,2020,155.0,3.0
BE,MT,2021,,5.0
BE,MT,2022,,11.0
BE,MT,2023,75.0,
BE,MT,2024,21.0,
BE,NL,2013,40314.0,3704.0
BE,NL,2014,54418.0,5298.0
BE,NL,2015,49236.0,3054.0
BE,NL,2016,36694.0,10363.0
BE,NL,2017,,596.0
BE,NL,2018,,4613.0
BE,NL,2019,17366.0,8169.0
BE,NL,2020,16149.0,5835.0
BE,NL,2021,17001.0,5491.0
BE,NL,2022,16807.0,8437.0
BE,NL,2023,15976.0,10002.0
BE,NL,2024,14377.0,11420.0
BE,NO,2013,23579.0,23.0
BE,NO,2014,26733.0,42.0
BE,NO,2015,,23.0
BE,NO,2016,,32.0
BE,NO,2017,,20.0
BE,NO,2018,,30.0
BE,NO,2019,602.0,-17.0
BE,NO,2020,490.0,78.0
BE,NO,2021,530.0,116.0
BE,NO,2022,582.0,92.0
BE,NO,2023,522.0,59.0
BE,NO,2024,301.0,96.0
BE,PL,2013,3328.0,238.0
BE,PL,2014,4218.0,242.0
BE,PL,2015,,185.0
BE,PL,2016,,300.0
BE,PL,2017,,225.0
BE,PL,2018,,255.0
BE,PL,2019,2218.0,306.0
BE,PL,2020,1959.0,263.0
BE,PL,2021,1901.0,606.0
BE,PL,2022,2124.0,451.0
BE,PL,2023,1342.0,734.0
BE,PL,2024,1305.0,1192.0
BE,PT,2013,1275.0,11.0
BE,PT,2014,,78.0
BE,PT,2015,,207.0
BE,PT,2016,,457.0
BE,PT,2017,,261.0
BE,PT,2019,311.0,87.0
BE,PT,2020,196.0,163.0
BE,PT,2021,215.0,116.0
BE,PT,2022,263.0,168.0
BE,PT,2023,162.0,217.0
BE,PT,2024,120.0,104.0
